subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
cycles,True,specific,"The Ferris wheel turns slow against the dusk.  
A spinning circle sways like time undone.  

A spinning circle sways like time undone—  
Its creak and groan recall a body’s ache.  

Its creak and groan recall a body’s ache,  
Rising, falling, then back to where it starts.  

Rising, falling, then back to where it starts,  
The view expands, then folds into itself.  

The view expands, then folds into itself,  
Lights trace the edges of a fleeting joy.  

Lights trace the edges of a fleeting joy—  
For moments, we are held above the ground.  

For moments, we are held above the ground,  
And vanish when the last light meets the dark.  

The Ferris wheel turns slow against the dusk.  ","[ 2  0  0  0  2  0  0  3  0  2  0  0  0  2  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  1  0  0  0  1  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  2  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  1  2  0  0  0  0  0  0  0]",0.31,0.55,0.37,0.34,0.43,0.4
desire & passion,True,general,"A hunger curls inside, sharp and alive,  
Its ache a whisper, tender yet devouring.  

Its ache a whisper, tender yet devouring—  
How need twists sweet and cruel, the same fire.  

How need twists sweet and cruel, the same fire  
That warms the hand but spreads through the chest.  

That warms the hand but spreads through the chest,  
Turning breath into smoke, body to ember.  

Turning breath into smoke, body to ember,  
We chase what leaves us scorched but gleaming.  

We chase what leaves us scorched but gleaming,  
A spark too brief to cradle but too bright to refuse.  

A spark too brief to cradle but too bright to refuse,  
A hunger curls inside, sharp and alive.  ","[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 0 0 0 2 6 4 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 0
 0 0 0 0 0]",0.21,0.34,0.34,0.24,0.3,0.28
desire & passion,True,figurative,"I sought the heat where shadows dared to cling,  
The way fire hums beneath a quiet thing.  

The way fire hums beneath a quiet thing—  
I held the flame and prayed it wouldn’t singe.  

I held the flame and prayed it wouldn’t singe,  
But still, it licked my hand, a pleading hinge.  

And still, it licked my hand, a pleading hinge;  
Its whisper curled my breath into a sting.  

Its whisper curled my breath into a sting,  
And left me mute, undone by blinding wings.  

It left me mute, undone by blinding wings,  
The glow now fades, yet stays, a haunting ring.  

The glow now fades, yet stays, a haunting ring.  
I sought the heat where shadows dared to cling.  ","[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.43,0.47,0.35,0.3,0.45,0.4
desire & passion,True,specific,"The red silk scarf clung tight in the humid air,  
It whispered warmth, though I was cold to its touch.  

It whispered warmth, though I was cold to its touch,  
A ribbon of fire bound to my trembling hands.  

A ribbon of fire bound to my trembling hands,  
Its folds breathed secrets of lives I'd never known.  

Its folds breathed secrets of lives I’d never known,  
Each thread a map of longing, woven and taut.  

Each thread a map of longing, woven and taut—  
It crowded the room, though it weighed nearly nothing.  

It crowded the room, though it weighed nearly nothing,  
A single slip could unravel my resolve.  

A single slip could unravel my resolve,  
The red silk scarf clung tight in the humid air.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.44,0.54,0.42,0.33,0.49,0.44
doubt & contemplation,True,general,"I hold my silence like a bird holds its breath.  
A stillness erupts, heavier than the air.  

A stillness erupts, heavier than the air—  
Its weight bends the branches I thought were mine.  

Its weight bends the branches I thought were mine,  
And cracks the sky I painted to feel whole.  

It cracks the sky I painted to feel whole;  
Who knew this ache could live beneath its blue?  

Who knew this ache could live beneath its blue,  
Where shadows falter and yet never retreat?  

Where shadows falter and yet never retreat,  
Each question seeds a forest I cannot leave.  

Each question seeds a forest I cannot leave.  
I hold my silence like a bird holds its breath.  ","[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 1 6 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 2 0
 0 0 0 0 0]",0.36,0.39,0.37,0.22,0.38,0.34
doubt & contemplation,True,figurative,"I woke unsure if truth still knew my name.  
The mirror whispered back in fractured tones.  

The mirror whispered back in fractured tones,  
Its voice a hunger gnawed sharp in my chest.  

Its voice, a hunger, gnawed sharp in my chest,  
Left me to question the weight of my steps.  

Left me to question the weight of my steps:  
Could shadows mock the sun for burning dim?  

Could shadows mock the sun for burning dim,  
When every glow must flicker, fade, and fall?  

When every glow must flicker, fade, and fall,  
What shape does silence take when it’s unmet?  

What shape does silence take when it’s unmet?  
I woke unsure if truth still knew my name.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 4 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 2 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0
 0 0 0 0 0]",0.43,0.54,0.44,0.46,0.46,0.46
doubt & contemplation,True,specific,"The lake refused its reflection back to me.  
A silver mirror fractured by trembling hands.  

A silver mirror fractured by trembling hands—  
Ripples unmaking the truth I thought I knew.  

Ripples unmaking the truth I thought I knew,  
Each wave a question folding into itself.  

Each wave a question folding into itself,  
And I stood still, afraid to reach for the answer.  

I stood still, afraid to reach for the answer—  
The branches above cast shadows like doubt.  

The branches above cast shadows like doubt,  
Their shapes shifting as the wind pulled them apart.  

Their shapes shifting as the wind pulled them apart,  
The lake refused its reflection back to me.","[ 2  0  0  0  0  0  0  1  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  0  0  4  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.23,0.52,0.39,0.34,0.34,0.36
family & ancestors,True,general,"I carry the weight of voices I can't name.  
Their whispers seep through blood, a quiet flame.  

Their whispers seep through blood, a quiet flame,  
Stories untold, yet etched in my marrow.  

Stories untold, yet etched in my marrow,  
I am their echo, sharp in joy and sorrow.  

I am their echo, sharp in joy and sorrow,  
Lessons passed down in silence, not in sound.  

Lessons passed down in silence, not in sound—  
Each gesture a thread in a quilt unwound.  

Each gesture a thread in a quilt unwound,  
I stitch their love, though their faces stay blurred.  

I stitch their love, though their faces stay blurred,  
A chorus of shadows, alive in one word.  

I carry the weight of voices I can't name.  ","[ 0  0  0  0  0  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0 11  0  0  0  0  0  0  0  0  0  0  0  0  0  2
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  2  2  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.25,0.38,0.36,0.52,0.37,0.38
family & ancestors,True,figurative,"The air is thick with whispers I cannot name,  
It clings to me like shadows I can't unsee.  

It clings to me like shadows I can't unsee,  
A weight of voices humming low in my chest.  

The weight of voices humming low in my chest  
Presses me into stories I've not lived.  

Pressed into stories I've not lived, I ache  
For faces I know only through my dreams.  

The faces I know only through my dreams  
Rise up like tidewater, then pull away.  

They rise like tidewater, then pull away,  
Leaving salt in the hollows of my hands.  

Left with salt in the hollows of my hands,  
The air is thick with whispers I cannot name.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 2 0 2 0 2 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
 0 0 6 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 1 0 0 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 3
 0 0 0 0 0]",0.48,0.58,0.51,0.48,0.48,0.51
family & ancestors,True,specific,"Her hands told stories carved in wrinkle and scar.  
The touch of worn fingers feels like fragile bark.  

The touch of worn fingers feels like fragile bark.  
She held me close, her warmth a glowing spark.  

She held me close, her warmth a glowing spark,  
While her voice wove tales of rain and lark.  

While her voice wove tales of rain and lark,  
Her breath hummed prayers against the looming dark.  

Her breath hummed prayers against the looming dark,  
Beneath her roof, both shelter and an ark.  

Beneath her roof, both shelter and an ark,  
I dreamed of roots she planted in the park.  

I dreamed of roots she planted in the park—  
Her hands told stories carved in wrinkle and scar.  ","[0 0 0 0 2 0 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.32,0.54,0.43,0.42,0.5,0.44
gender & sexuality,True,general,"My body shifts like dusk between two skies,  
A shape that holds yet blurs what it divides.  

A shape that holds yet blurs what it divides,  
I wear myself in fragments, soft and untried.  

I wear myself in fragments, soft and untried,  
Each stitch unravels where silence collides.  

Each stitch unravels where silence collides,  
The seams of truth undone, no place to hide.  

The seams of truth undone, no place to hide—  
I grow a name that blooms, then breaks beside.  

I grow a name that blooms, then breaks beside,  
Its petals shed like whispers I confide.  

Its petals shed like whispers I confide,  
My body shifts like dusk between two skies.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 2 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0
 0 0 0 0 0]",0.35,0.37,0.37,0.24,0.33,0.33
gender & sexuality,True,figurative,"I walked through shadows to find my own face.  
Each step I took erased the paths they traced.  

Each step I took erased the paths they traced,  
A dance I learned in secret, out of place.  

A dance I learned in secret, out of place,  
The mirrors cracked where I had sought for grace.  

The mirrors cracked where I had sought for grace,  
Reflections formed a world I’d yet to chase.  

Reflections formed a world I’d yet to chase,  
Shapes softening in ways I dared embrace.  

Shapes softening in ways I dared embrace,  
An echo called that I could not erase.  

An echo called that I could not erase—  
I walked through shadows to find my own face.  ","[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 4 0 2 0 0 2 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.28,0.5,0.49,0.43,0.42,0.42
gender & sexuality,True,specific,"The mirror once taught me the shape of my face.  
Its silver mouth whispered a name I’d ignored.  

Its silver mouth whispered a name I’d ignored,  
Pressed against the skin I was told to betray.  

Pressed against the skin I was told to betray,  
I traced my reflection to find where I fit.  

I traced my reflection to find where I fit,  
But cracks in the glass made my edges unclear.  

But cracks in the glass made my edges unclear,  
As if the frame held a ghost I couldn’t be.  

As if the frame held a ghost I couldn’t be,  
I questioned the weight of every crooked line.  

I questioned the weight of every crooked line,  
The mirror once taught me the shape of my face.  ","[ 0  0  0  0  2  0  0  0  0  0  2  0  0  0  2  0  0  0  0  0  0  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  2  0  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  6  0  0  0  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  4  0  0  0  0  0
  0  0  0  0  0  0  0  2  0  0  0  0  0  0  2  0  0  0  0  0  0  0]",0.44,0.66,0.51,0.41,0.55,0.51
greek & roman mythology,True,general,"The gods once walked where the mortal heart aches,  
Their laughter burned like fires through dark skies.  

Their laughter burned like fires through dark skies,  
Immortal pain masked by celestial pride.  

Immortal pain masked by celestial pride,  
Zeus’s throne hums with thunderous regrets.  

Zeus’s throne hums with thunderous regrets,  
Athena weeps where wisdom can’t mend wounds.  

Athena weeps where wisdom can’t mend wounds,  
Arachne spins her fate into fragile threads.  

Arachne spins her fate into fragile threads,  
The Fates themselves watch, silent, holding their shears.  

The Fates themselves watch, silent, holding their shears,  
Love and war are mirrors broken on the ground.  

The gods once walked where the mortal heart aches.  ","[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 7 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 2
 0 0 0 0 0]",0.25,0.37,0.32,0.34,0.37,0.33
greek & roman mythology,True,figurative,"A god once whispered secrets into the sea,  
I listened close, mistaking salt for wisdom.  

I listened close, mistaking salt for wisdom,  
Dreaming of stars that burned in endless battle.  

Dreaming of stars that burned in endless battle,  
I prayed to idols carved from stone and hunger.  

I prayed to idols carved from stone and hunger,  
Their marble eyes untouched by flame or silence.  

Their marble eyes untouched by flame or silence,  
Reflected skies where echoes bled like serpents.  

Reflected skies where echoes bled like serpents,  
I wandered roads that coiled toward distant ruins.  

I wandered roads that coiled toward distant ruins,  
A god once whispered secrets into the sea.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 2 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.24,0.38,0.39,0.29,0.34,0.33
greek & roman mythology,True,specific,"The olive tree remembers where we knelt.  
Beneath its shade, we prayed to gods long gone.  

Beneath its shade, we prayed to gods long gone—  
Their whispers wrapped in branches, dusk-drawn songs.  

Their whispers wrapped in branches, dusk-drawn songs,  
A war of love and vengeance carved in stone.  

A war of love and vengeance carved in stone,  
Athena claimed this tree as her own breath.  

Athena claimed this tree as her own breath—  
I saw her shadow brush the bark like flame.  

I saw her shadow brush the bark like flame,  
And still, the leaves hid offerings of grief.  

And still, the leaves hid offerings of grief—  
The olive tree remembers where we knelt.  ","[0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 2 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.4,0.5,0.44,0.46,0.54,0.47
history & politics,True,general,"We walk on bones the earth cannot forget.  
Beneath each step, a shadow of regret.  

Beneath each step, a shadow of regret,  
Wars etched in soil where treaties were upset.  

Wars etched in soil where treaties were upset,  
The flags we raise still wave on blood and sweat.  

The flags we raise still wave on blood and sweat—  
A symbol, or a noose we can't unnet?  

A symbol, or a noose we can't unnet,  
Each promise breaks as truth and lie reset.  

Each promise breaks as truth and lie reset;  
The page may turn, but debt remains unmet.  

The page may turn, but debt remains unmet—  
We walk on bones the earth cannot forget.  ","[0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 6 0 0 2 0 0 2 0 0
 0 0 0 0 0]",0.26,0.4,0.27,0.34,0.44,0.34
history & politics,True,figurative,"In whispers, they build monuments of the past.  
The weight of stone hides what they could not confess.  

The weight of stone hides what they could not confess—  
A gilded pause where silence breaks like glass.  

A gilded pause where silence breaks like glass,  
Each word a ghost that shadows what once was.  

Each word a ghost that shadows what once was,  
Ink-stained with stories none dared to address.  

Ink-stained with stories none dared to address,  
Their echoes linger, soft, beneath the brass.  

Their echoes linger, soft, beneath the brass,  
Unfolding truths they swore would never last.  

Unfolding truths they swore would never last,  
In whispers, they build monuments of the past.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 6 0 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 2 0 2
 0 0 0 0 0]",0.24,0.45,0.42,0.36,0.49,0.39
